,Text
563193,"I received this product free to test from Influenster.com and couldnt have been more excited to try.  I love soft baked cookies, but I find that whenever i try to buy ones that are already made, they don't taste fresh.  The Quaker Soft Baked Cookie is large and fulfilling.  The taste was fresh as though it had been made right in your own kitchen.  My kids loved the oatmeal raisin and it had just the right amount of raisins in it.  This will be the ONLY type of soft cookie I will buy from here on out!  I love the quality of Quaker products!"
563194,These cookies are so good and soft as promised!  Def recommend them to anyone and everyone that is looking for a good cookie at a good price!
563195,I love Oatmeal Cookies so I was really looking forward to trying these.  They are so good and soft my favorite combo with a oatmeal cookie.
563196,quaker soft baked oatmeal cookies are so good they are soft which is a plus and the taste is great
563197,"I tried these when given to me to review. I will (and have) get more of these! Delicious! I love the chocolate more than the raisin, but that is purely personal preference on my part."
563198,"Mommy and kid approved!  I had the opportunity to taste and test Quaker Oatmeal Cookies in Raisin from Influenster and I was happily surprised by the texture, taste, and yumminess.  The kids loved them and didn't even notice the raisins.  I would recommend them for a great healthier snack!"
563199,"The cookie is very soft, chewy, tastes great and good for you. Provides a good sourse of fiber. You fins almost at any store."
563200,These are so yummy and I love to eat them! You have to try them they are sooooo yummy! Very great product and worth the money!
563201,"After trying these for a review for Influenster, I ended up buying a box of these because they were so good! They are soft and they come in individual packages so you can just take on the go. My kids loved these too and since they are a lot healthier then other cookies, I will definitely be purchasing more."
563202,"I got this is my Mom Vox Box from Influensters to try and my little daughter ate it right up! She thought she wouldn't like it because of the rasins but, she loved it!!! She said it was very soft and yummy! She said it reminds her of grandmas cookies! It tasted like homemade cookies she said! She loved them so much she asked to buy her more every time we go to the store!!! I was very impressed!"
563203,"I will absolutely purchase this item.  I received one of these in my Voxbox, and liked it right away.  The flavor is delicious, and it has a chewy, soft consistency (which I prefer in cookies)."
563204,I received this product to test as a part of my Mom VoxBox from Influenster.com. As I was going through all the products I was sent to test I opened the Quaker Soft Baked Oatmeal cookie and ate it. I was pleasantly surprised. I have not eaten an Oatmeal cookie since I was a kid.  Taking that first bite brought me right back to my childhood where my mom would bake oatmeal cookies for my grade school parties.  The Quaker cookie is very soft and has just the right amount of raisins.  The raisins do not take away from the taste of the oatmeal. I have already bought two boxes of these and will continue to add these cookies to my bi-monthly grocery lists.  Try these cookies you will not regret it!!
563205,i receive this at a mom voxbox influenster.com i love this cookie its sooo yummii i will buy more of this cookies
563206,"I received this product to test as a part of Influenster.com. I really don't like oatmeal cookies, but this was definitely a mind changer. It was so soft. It was mouth watering when I smelled it. I smell all fods before I eat them, especially if I am unfamiliar with them,don't ask why, because I don't know lol. But these were great and it was gone before I finished looking through the box. These are definitel great for healthy snacking and I know kids love them dearly. I can't wait to try the other cookie flavors! Thanks Quaker"
563207,"I received this cookie in my moms voxbox from influenster.com. It was delicious. My only complaint is that is was a little crumbly, a little too messy for kids. Perfect for me however and I was not sharing so it was fine :-)"
563208,I like the taste and the texture...i personally dont really like this flavor but its actually pretty good :) it passes my picky taste.
563209,"The first thing I noticed when unwrapping my Quaker cookie was the smell. I smelled fresh baked good as soon as I unwrapped my cookie. I received the oatmeal raisin cookie, I'm not a fan of raisins but I was willing to give the cookie a try just based on the amazing smell. When I took my first bite I was in love, the cookie was soft and moist and when it was gone I found myself wanting more. I totally recommend people try this amazing cookie for themselves."
563210,"<a href=""http://www.amazon.com/gp/product/B005KK56JU"">Quaker Soft Baked Oatmeal Cookies 6 count box (8.8 oz.), Raisins (Pack of 4)</a><br /><br />I received this cookie in my moms voxbox from influenster.com. I am not usually a cookie person unless i am baking them myself, but in this case i really enjoyed this cookie. I was even more surprised by the nutrition facts, a cookie good this good should not be good for you. I will definitely be picking up a box on my next shopping trip."
563211,I have been buying these cookies since they first came out and my family loves them. I have bought every flavor they had and there wasn't one that they didn't like. I will continue to buy these for my family. Great price and delicious!!
563212,I really enjoyed these cookies. They were soft and yummy. Almost like hommade. I would repurchase them again. Quaker is a brand I love and trust for quality.
563213,I love them they are so chewy and they taste awesome I would definitively make them my favorite. If you are a fan of cookies you will love this ones.
563214,"I really like these cookies, they are soft and chewy and have the great taste of quaker oats....I will definately be buying these again."
563215,"I really liked the Quacker cookies. They were soft and tasted good. I dont think they tasted better than the chocolate chip kind but, they were still good."
563216,"I absolutely loved these!  They are soft, chewy, and irresistible.  They are not quite like homemade, but darn close.  I had a hard time eating the sample that I got from Influenster.com.  Both of my children asked for one bite and then were begging for more."
563217,I received one of these cookies from Influenster and I am always reluctant to try pre-made cookies because they make my teeth hurt. I was pleasantly surprised when my teeth didn't hurt and the cookie made me think of cookies from my childhood. The cookie was fresh and was soft and I am not a huge fan of raisins but honestly I enjoyed them in this cookie. I will be buying a box of these as they are a great snack item for the kids.
563218,"The kids LOVED this, but I mean, hey it's a large, soft, chewy cookie, of course they are going to love this. Hubby is a little more accustomed to my homemade cooking so he could take it or leave it. I thought there could be a few more raisins in it.<br /><br />Thank you influenster for allowing me to try this product."
563219,Oatmeal raisin cookies are my favorite cookies. These are very soft and the raisin are moist. Will definately be buying more
563220,"I loved these oatmeal raisin cookies. They were huge and full of flavor. if you love oatmeal raisin, you will LOVE these!!"
563221,These are great! My kiddos loved  them. Thanks influenster and quacker.<br />I received a sample and the kiddos ate them up.
563222,"These aren't bad for a packaged, commercial cookie. They don't taste fake, they aren't overly sweet, and they have a nice texture. My kids really liked them."
563223,"These are so soft and delicious. They are from Quaker, so you know that they are good for you! My son and I both loved them."
563224,I absolutely loved this cookie! They are so delicious! i will continue to buy them. They are oist chewy and i could eat a whole box!
563225,I never really liked oatmeal cookies but the commercial for the Quaker soft baked Oatmeal cookie bought me. I loved how soft it was and tasted just as fresh as a cookie that just cooled down out of the oven. I am addicted
563226,"My son doesn't usually enjoy cookies unless they are chocolate chip, or have frosting on them, but when I gave my 2 yr old the quaker soft baked oatmeal cookie, he ate it right up! they were delicious!"
563227,I am a big fan of oatmeal cookies and no one does it better than Quaker..I however was surprised at how soft this cookies are...I was expecting to need to wrap it and put it in the microwave but it was perfect right out of the package.
563228,"These cookies are delicious, and soft. and still taste as new out the package. I would definitely encourage everyone to get these. I guarantee you and your children will enjoy them :-)"
563229,"Soft, and oh, so delicious! I'd about had it with packaged cookies until I tried these! You won't be disappointed!!"
563230,"I love oatmeal raisen cookies so when i heard that Quaker was selling a new soft baked cookie i was ready to try it. I was a little skeptical that it wouldn't live up to my expectations ,but Im glad i was wrong. It's so soft and yummy . it literally could have been a homemade cookie. its a great treat and i will definitely be buying more."
563231,these soft cookies were vert good. I tryed the Oatmeal rasin soft cookies. They were good. I like oatmeal raisn cookies. I can't wait to try some other the other flavors. These cookies are an A++++ in my house hold. everyone loves them.
563232,"These cookies are so good! I never get to eat a whole one though, my kids keep snatching them! They didn't even seem to notice that they were healthy cookies that are actually good for you!"
563233,There are delicious.  I recommend for all the oatmeal cookie lovers!  My kids also loved the cookies as well.  Great for the whole family.
563234,"I Love these oatmeal raisin cookies! They have a ton of flavor, are soft and moist, and I don't feel as guilty eating them, because they are quaker and I trust thier products to be delicious and a healthy alternative!"
563235,I recieved these in my Mom Voxbox from Influenster and my daughter loved them.  So after that we bought a box and we all loved this cookie!
563236,"I recieved these in my Mom Voxbox from Influenster, all I can say is amazing. My son even likes them!"
563237,"I recently got the chance to sample Quaker Soft Baked Oatmeal Cookies via Influenster in my Mom VocBox and that cookie didn't last 2 minutes in my home!  Once it came out of the box, it was out of the wrapper and I had to split it 3 ways cause the kids saw it and had to have some.  Love the soft, chewy goodness and the flavor is so great and pure.  We are headed out to get some more!<br />*I recieved this product compliments of Influenster however all opinions are my own."
563238,"I GOT TO TRY THIS QUAKER SOFT BAKED OATMEAL COOKIE THROUGH THE GOOD FOLKS FROM INFLUENSTER AFTER RECEIVING THEIR 2012 MOMVOX BOX, AND I MUST SAY I LOVE IT, FIRST OF ALL OATMEAL COOKIES ARE MY FAVORITE, SO THERE WASNT ANY DISAPPOINTMENT THERE, THE COOKIE RETAIN ITS SOFTNESS/FRESHNESS OFTER BEING OPENED BY ME FOR A WEEK NOW, AND THAT WAS GOOD, PLUS IT TASTE GREAT SO THUMBS UP"
563239,"I received this product complimentary for testing purposes from Quaker and Influenster. I didn't hardly get it out of the box before my 2 year old spied it and had to try it! We split the tasty cookie and both really enjoyed it. I have since bought some of the crunchy Quaker cookies which are really good too, but I really do like the soft, chewy oatmeal raisin cookies for my daughters. It's great afternoon snack and easy to pack in my purse for trips to the zoo or swimming. Also, since there Quaker cookies it's a brand I trust and have used for years so that makes me feel happy about the choice I'm making for my children."
563240,I love oatmeal and i love raisins. So the two combined was great!! I loved the Quaker oatmeal and raisin  soft cookie!! I have and will be a future repurchase for myself and my family.
563241,"As soon as I opened my Mom Vox Box, I pulled out this cookie. I LOVE oatmeal raisin and so does my 2 year old daughter, Lily. She started screaming, ""cookie, cookie mama, cookie"". So naturally I gave in. She liked it. She decided to eat it over her mac and cheese which is unusual for her! I did manage to steal a piece and it is amazingly good! I will definitely be buying these regularly!"
563242,"very soft and delicious cookie, the best i have had in a while thank you to influenster for allowing me to try this great product<br /><a href=""http://www.amazon.com/gp/product/B000YPML80"">Quaker Breakfast Cookies Oatmeal Chocolate Chip, 6-Count Boxes (Pack of 6)</a>"
563243,"These cookies are soft and delicious.  They are good for a quick, healthy snack or a quick breakfast.  This cookie lover highly recommends."
563244,They are soft and chewy. they they taste like homemade cookies. I liked the fact that they weren't too sweet.
563245,"Soft, chewey, & fresh! I recieved a free sample and would definitely buy it for my family & recomend to anyone!"
563246,These cookies are so good and soft.. I love these cookies eat atleast one everyday I find littles one's love them as well.. You can't go wrong with these cookies plus they are good for you..
563247,I loved the quaker soft baked oatmeal cookie that i recieved complements of Influenster.com. The cookie was soft and chewy with a sweet cinnamon kick to it! I couldnt wait to buy more!
563248,I loved the quaker soft baked oatmeal cookie that i recieved complements of Influenster.com. The cookie was soft and chewy with a sweet cinnamon kick to it! I couldnt wait to buy more!
563249,I received this product courtesy of Influenster and this is delicious..it was soft and full of flavor. I am definitely going to repurchase these.
563250,"I'm not such a RAISIN fan but boy, these Quaker Soft Baked Oatmeal Cookies sure made me changed my mind! I loved them! Very chewy!!! (:"
563251,"I was able to try this thanks to influenster.com. My daughter who is one ended up stealing it from me before i could finish my bite but what i got was delish, and she gobbled the rest right up. We will Definitely be buying more soon"
563252,I tried these courtesy of influenster.com as a prize. My family loved them. They taste very much like homemade cookies. I have already bought more.
563253,Who doesn't love cookies? these Quaker oatmeal raisin cookies are so good but made with whole grain and oats. For a sweet and healthy snack these are great. I love soft cookies so these were a hit.
563254,"I am a huge fan of homemade cookies but this one made me forget it was store bought! :)  Yummy, healthy and even my picky daughter liked it.  :)"
563255,I am not normally a cookie fan but I tried this cookie and it was great!It was very soft and the taste was just wonderful. It isn't overly sweet so it is a great on the go snack for the entire family.
563256,These cookies are wonderful and healthy for you.  My kids absolutely loved them and I love that they love something that is good for them!
563257,The cookie was soft and not over bearingly sweet which is unusual for store bought packaged cookies. I would buy these again.
563258,"I try to restrict the amount of sweets my family has, especially now that I am on a diet. I LOVED these cookies though! They come individually wrapped, which is great for on the go or for little ones. This also makes it easy for me to have just one at a time. They are SUPER YUMMY and  I can't wait to purchase more!"
563259,At first I wasn't very excited to try the cookie just because I don't normally eat sweets but these were so good! I got the oatmeal one and I loved it. I wanted another when I was fished!
563260,I absolutley loved the cookie. It had a great taste and it was chewy good. It was yummy in my tummy.
563261,I had the cookie and loved it. My boyfriend and daughter enjoys it as well! It's soft and chewy and would be a great on the go snack since they're individually packaged. How awesome is that! And all at 170 calories per cookie. I personally wouldn't go out and stock up like crazy because I'm more into veggies and fruit snacks but I would buy this again. Quaker always comes out with really great products! =]
563262,"My 5 yr old son loved the cookies. I enjoyed it as well, I am just used to cookies being a bit sweeter."
563263,"Quaker soft baked oatmeal cookie....ITS SO YUMMY!!! added on with a cup of milk, its chewy it isnt too sweet or not sweet at all."
563264,"m, my daughter, my mother, my friends, all loveeeee these.... better than any bakery!! perfect homemade..... cant wait to get a big box of them!"
563265,"I cannot rave enough about these cookies. I received a complementary cookie in my mom Vox box just a few days ago and within the same week bought an entire box to share with my family. These cookies are soft , generously sized and delicious. Definitely a good buy."
563266,"I am in love with these cookies. They are soft and chewy, and I love how they are individualy wrapped so I don't have to worry with them going stale once I open the box. I definitely would reccomend them to anyone who likes oatmeal cookies or to anyone wanting to try something new."
563267,"I don't normally like oatmeal cookies, but these cookies are so soft, moist, and melt-in-your mouth delicious that I fell in love. I think it's absolutely brilliant that Quaker Oats has started making oatmeal cookies! They are the experts on oatmeal! I can't wait to see what new flavors they come up with next. So far I've had the Oatmeal Raisin and the Banana and they were both very good. I also love the convenient single serve packaging, which is great for my daughter's school lunches."
563268,These cookies are very tasty and soft! I received a complementary cookie in my mom vox box and will definitely be buying more!
563269,"Excellent product, very filling, my teenager who eats NOTHING but pizza loves them!!!! Very aforable and easy to carry with you."
563270,"I don't usually like raisins in my cookies, but I got to try it out and this cookie was yummy!  It was filling and satisfying, too."
563271,I like that these cookies are individually packed.  They are really good.  I really like that they are so soft.  They tasted fresh baked right out of the oven.  I loved them!
563272,My kids loved this cookie!! It was so soft it like melt in ur mouth! I would def buy this cookies again! U will need milk or water while u eat it tho its a little bit drying while eating. :-)
563273,Although not homemade they are as close as you are going to get in a packaged cookie!  They are really soft and full of flavor!  Just big enough to satisfy your sweet tooth too.  My kids really enjoyed these so I will repurchase!
563274,"When I first opened the package, I felt like a little kid again!  The cookie smelled just like the creamy oatmeal cookies my mom used to make when I was little!  I did not used to get heartburn as a little kid, though, and there was the drawback!  My tummy is just too tender for those crazy oats!"
563275,I'm glad I got to try this before I actually purchased it.  I would not purchase these.  The initial flavor was ok then it left a kind of chemically after taste.  It kind of reminded me of eating a cookie with the texture of a biscuit.  I definitely needed something to wash it down.
563276,"The Quaker Oatmeal cookies were absolutely delicious; soft, sweet, and perfect in every way! I will definitely be buying these often! They are very flavorful and just melt in your mouth!"
563277,"I am the type of person who would rather bake something myself because I am so picky about taste and texture.  Let me just say that Quaker NAILED this cookie!  It's awesome!  Somehow it stayed soft and moist, and tasted like it was baked that morning.  Thanks for a quick, easy and healthy snack Quaker!"
563278,"These cookies are so great! They are soft and chewy and taste delicious. I really love homemade cookies right out of the oven, but these taste just as good! Quaker sure makes a great cookie!"
563279,"I received a Quaker Soft Baked Oatmeal Cookie from Influenster to try out and ended up really liking them. I shared the original cookie with my 3yo daughter and husband both of whom enjoyed it also. I actually ended up buying a box the next time we went grocery shopping.<br />The flavor of these is quite nice and the cookies are large and soft. I was impressed with the fact that they're moderately healthy and liked that they weren't too sweet.<br />The cookies are a bit expensive, and I'd prefer to make my own to have more control over the ingredients, but they are a good shopping choice. They're great for short trips or an emergency snack. I'd definitely buy more of them, but not on a weekly basis."
563280,"Delicious, fresh-baked cookies without the hassle or trouble of making them!  can't wait to  taste more of their different flavors, so yum!"
563281,cookie was so great nice and chewy the raisans was sweet and moist. everyone should give them a try you will love them. :)
563282,"QUAKER SOFT BAKED COOKIE IS NOTHN BUT AWESOME GOODNESS! QUAKER SOFT BAKED COOKIE IS DEF A COOKIE IM OK WITH ALLOWING MY CHILDREN TO HAVE ALL DAY EVERY DAY! NEXT ONE TO TRY ..... BANANA NUT? IM DOWN ! U DOWN? ABSOLUTELY LOVED THIS COOKIE , NOT ONLY IS IT GOOD FOR U BUT IT GETS U FULL AS WELL....SAY GOODBYE TO MUNCHING OUT ON COUNTLESS ""UNHEALTHY"" COOKIES. WHY PUT THAT OTHER STUFF IN YOUR SYSTEM? WHEN U CAN HAVE A QUAKER SOFTBAKED COOKIE! NEED I SAY YUMMERZ? I THINKS SO ! YUMMERZ ! AND KEEP UR HANDS OFF MY QUAKER SOFT BAKED COOKIE PEOPLE! LOL!"
563283,I received one from Influenster and love these cookies because it's soft and chewy without being too sweet. I just wish these were more readily available.
563284,I received this Quaker oatmeal raisin cookie in my MOMVOXBOX from Influenster and when i tell you this cookie was soft and chewy and so delicious i dont even like oatmeal raisin cookies so i was very hesitant at first to try it. But after i took that first bite i was in love and i instantly went to the nearest walmart and bought a box of quakeroatmeal raisins cookies. This is a product that is worth a try and you also try the other flavors too and hey i even warm my cookies for a couple seconds in the microwave to get the fresh out the oven warmth going on but like i said try it. This cookie is DELICIOUS!!!!!!!!!!!!!!!
563285,"I was recently given a package of the Quaker Soft Baked Oatmeal cookies in my Mom VoxBox from Influenster. I'm already a huge fan of almost all Quaker products, and these cookies didn't disappoint. They're SUPER soft, and weren't dry whatsoever!!! The oatmeal cookie part has a great flavor, no weird aftertaste like some cookies do. The raisins were decent, nice and plump, juicy, didn't have the dried out look, and there were enough of them in the cookies, but not too many (meaning the kids will still eat them, lol). They were good sized cookies, individually wrapped to ensure freshness, and had a delicious taste. Now I'm craving them! Overall, they were a great cookie! I'd definitely purchase them again. Can't wait til they're back in stock on Amazon!"
563286,"Quaker Soft Baked Oatmeal Raisin cookies taste closest to homebaked cookies than any others I have tried. My kids loved them, too. They are moist and flavorful. We like them as a snack, or even as a breakfast on the go!"
563287,"Very very tasty! I received a sample cookie through influenster! This cookie was an amazing guilt free treat! Moist and full of flavor. I had an oatmeal raisin, but there are other flavors. Definitly worth buying. Much healthier than other cookies!"
563288,This was a great cookie.  I was very happy with how soft it was.  Being in the individual wrapping made it easy to through in the diaper bag or purse.  My 18 month old son loved the cookie.  Would love to have these in the house at all times.  Such a healthier way to enjoy cookies.
563289,i love this cookies so does my family bought more this week when we went to the store i plan to keep this all the time they are a great snack
563290,"Let's be honest: there are few desserts that can compete with a fresh baked, chewy oatmeal cookie. Even better when it's oatmeal raisin! As such, I was somewhat skeptical of the Quaker Soft Baked Oatmeal Raisin cookies, as I'm generally let down by store-bought cookies. Well, I'm here to tell you, I have become a believer. I have seen the light! Here's a breakdown of what I think overall:<br /><br />TEXTURE:<br />The package says ""soft-baked,"" and brother, it is no lie. These cookies are soft, moist and chewy, thus negating the need to do the milk dunk. Though, ice cold milk is a requisite with cookies, regardless.<br /><br />SERVING SIZE:<br />At 42g, these cookies are pretty well-sized and will definitely satisfy even the hardiest of sugar seekers. It would take 3 Oreos to match the size of one oatmeal raisin. No contest.<br /><br />TASTE:<br />Dynamite. Sweet cinnamon and raisins definitely prevail in this recipe, giving the oatmeal an authentic, homemade flavor.<br /><br />NUTRITIONAL PROFILE:<br />Now, this is where Quaker loses a few points with me. Though certainly not the unhealthiest cookie out there (in fact, it's probably on the healthier end of the spectrum), there are a few select ingredients that could be avoided, such as corn syrup. But, each cookie does contain 4g of fiber, as well as several grams of healthy fats, and 2g protein! For those who are curious, here's the complete nutrient breakdown:<br /><br />Serving Size: 1 Cookie (42g)<br />Calories: 140<br />Total Fat: 6g (9%)<br />Saturated Fat: 1.5g (8%)<br />Polyunsaturated Fat: 1g<br />Monounsaturated Fat: 3.5g<br />Cholesterol: 15mg (5%)<br />Sodium: 150mg (6%)<br />Total Carbohydrate: 27g (9%)<br />Dietary Fiber: 4g (16%)<br />Sugars: 12g<br />Other Carbohydrate: 11g<br />Protein: 2g<br /><br />Ingredients: Whole Grain Oat Flour, Enriched Flour (Bleached and Unbleached Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Raisins, Whole Grain Rolled Oats, Sugar, Whole Wheat Flour, Palm and High Oleic Canola Oil (with TBHQ [preservative]), Fructose, Invert Sugar Syrup, Mid-Oleic Sunflower Oil, Raisin Paste, Inulin, Granola (Whole Grain Rolled Oats, Sugar, Partially Hydrogenated Soybean Oil*, Honey, Brown Sugar Molasses), Dried Eggs, Modified Corn Starch, Corn Syrup, Polydextrose, Leavening Agents (Sodium Bicarbonate, Ammonium Bicarbonate), Oat Fiber, Propylene Glycol Mono- and Diesters of Fat and Fatty Acids, Mono- and Diglycerides, Soy Lecithin, BHT [to preserve freshness], Citric Acid [to preserve freshness], Wheat Gluten, Molasses, Calcium Phosphate, Salt, Natural Flavor, Cinnamon, Allspice, Corn Starch, Enzymes. *Adds a Dietarily Insignificant Amount of Trans Fat<br /><br />PACKAGING:<br />Stellar! Each cookie is individually wrapped for easy travel and consumption, so parents can toss one in their kid's lunch box, or tote one to the office for an easy snack/dessert.<br /><br />COST:<br />From what I can tell, the Quaker cookies are about par for the course in terms of cost, neither on the high nor low end, making for a pretty economical choice. Based on Amazon's pricing as I write this, the cost is slightly less than $1.00 per cookie. Not bad!<br /><br />OVERALL:<br />If you're looking to indulge in something sweet, somewhat healthy, and reminds you of a homemade treat, you can't do much better than Quaker Soft Baked Oatmeal Raisin cookies. The only challenge will be trying to resist a second helping, especially if you still have ice cold milk remaining in your glass."
563291,"My box has an expiration date of September 13, 2012, which is a little bit less than 2 months (which is okay, because the cookies get eaten up fast!). The cookies, made with whole grain Quaker oats, are definitely soft baked, and you can taste the delicious oatmeal in every bite! My only criticism of these cookies is that even though they had raisins, I couldn't taste them! It was practically just an oatmeal taste.<br /><br />Each cookie's size is a bit larger the palm of an adult hand. I love that they are individually wrapped because it means I can take them on the go with me! Each cookie is 170 calories, has 1.5 gram of fat, 150mg of sodium, and 12gram of sugar. I don't recommend the cookies for warding off hunger if you are on a diet as the calories per cookie is pretty high. This is good as treats for children's lunches though or to have them in your car when ever you go hungry.<br /><br />Also, I dropped one of the cookies (still in the wrapper) on the floor and it did not crumble, which I was happy with."
563292,"This is a must have for those sweet tooth cravings. My youngest child is 6 and isn't much of a sweets eater. However, he found the sample I received from Influenster and he LOVED it! I have to say, I was a tad disappointed that he didn't save me any but he assured me it was ""yummy"" Will definitely keep these on stock."
563293,These cookies are great! They are very soft and have a great flavor. Perfect for taking on the go for the kids.
563294,I received the Quaker Soft Baked Oatmeal Cookie in my Influenster Mom Vox Box. Let me just say that it was so yummy and delicious! After sharing it with my kiddos I was left wanting more. I will definitely be keeping these cookies on hand...the whole family loves them!
563295,"My kids and I absolutely love these cookies, already on our 2nd box!! I am excited to try all the different flavors, good cookies and they are so tasty!! Yum"
563296,My daughter and I absolutely love theses oatmeal cookies. Has the right amount of sweetness. Very soft not crunchy like most cookies. Taste like what grandma would bake at home.
563297,"I received the Quaker oatmeal raisin cookie as part of my Mom voxbox from Influenster.com. It was the first thing I took out of the box because I was hungry. I was honestly expecting not to like it. When I first opened the bag it smelled very fresh. I took a bite of it and instantly loved it. I loved how fresh, soft and chewy the cookie was. I went out and bought more so my husband can also have some, he also loved them. They are a great on the go snack."
563298,"Good oatmeal cookies.<br /><br />You can pretend you're eating something healthy.  When your marathoner, vegan, 4% body-fat co-worker says, ""Cookies?"" in their smug, disdainful fashion, you can reply, ""No, it's oatmeal"".  Then cram another seven in your mouth, 'cause these are *really* good cookies.<br /><br />E.M. Van Court"
563299,"I love oatmeal cookies!So I decided to try these out.Well I'm a really big fan of these cookies. Their good, tasty, and it's easy to eat when your busy in the morning or you just need a quick snack. You can even heat these up a bit in the microwave or have them cold, it's great either way. But the one complaint I have of these are the raisins, I don't know they just didn't taste that great and they kept getting stuck everywhere my mouth.Glad I tried them though!!"
563300,These Quaker Soft Baked Oatmeal Cookies are delicious! They are SUPER soft and taste absolutely wonderful. They are made with whole grain which is always a plus and are naturally flavored. My daughter loved them too. We will probably be getting more next time we go grocery shopping!
563301,Quick Take:<br />it was a C+<br /><br />Usage Tips:<br />good for kids if they come pre-packaged. kids liked it.<br /><br />The Verdict:<br />Didn't quite taste home made. too much molasses? too many carbs.<br /><br />love the commercial of the woman biting the neighbors cookie.
563302,I got a sample on the Oat Meal Raisin from Influenster.  My kids really loved the taste and we have since bought more.  I think these are great and better than having candy or something else less healthy.
563303,"I Love these cookies , i have had the oatmeal raisin and the chocolate chip ones and cant wait to try them all mmmmmmmmm good !!"
563304,These cookies were okay. My 2 & 6 year old sisters loved them but I don't think I'd buy them for myself.
563305,Def love these cookies! I let my kids eat it. I don't feel guilty afterwards! Pop it in the microwave for a few seconds to make them extra soft :)
563306,"I received one of these in my VoxBox to try, it did not make it into the house! It was delicious! Very soft and chewy, flavorful, full of raisins! Absolutely loved it! I can't wait to go shopping so I can get a whole box of these!"
563307,These cookies were delicious! I love that they were individually packed so I could throw a couple in the diaper bag without having to fuss with pre packing snacks in sandwich bags.  The cookies stayed moist and yummy until snack time.  My kid loves it and so do I.
563308,"these cookies are super yummy! I love how they can be a quick, tasty and healthier on the go breakfast option.My whole family loves them!"
563309,I tried Quaker Soft Baked Oatmeal cookie's as a sample through Influenster.  They were so soft and tasted just like homemade.  It is exactly what I expected from Quaker!
563310,"Three years ago I was diagnosed with gestational diabetes. It sucked. There's nothing like bring in the middle of the ravenousness of pregnancy and being told to watch what you eat. But it did get me to start paying better attention to how I could still enjoy foods I loved while making healthier choices. One of the things I learned to balance was fiber intake. Ever since I've made a point to always go for whole grains when the choice is available and Quaker's products tend to make the best of combining deliciousness with heart-healthy oats.<br /><br />I recently received a sample of these Soft Baked Oatmeal Cookies from Influenster and they're surprisingly good. Maybe not quite as good as the ones my mom made when I was a kid but still a tasty treat reminiscent of the childhood classic. Packed with raisins and big enough you only need one they're a satisfying snack or dessert option. Since traditional oatmeal cookies aren't my favorite I'm going to have to try one of their other flavors like <a href=""http://www.amazon.com/gp/product/B007JFMH96"">Quaker Soft Baked Oatmeal Cookie, Chocolate Almond, 8.8-Ounce (Pack of 6)</a> or <a href=""http://www.amazon.com/gp/product/B007JFMHBE"">Quaker Soft Baked Oatmeal Cookie, Cranberry and Yogurt, 8.8-Ounce (Pack of 6)</a>. With a variety of flavors there's sure to be one for most soft baked style cookie lovers."
563311,"I received a Soft Baked oatmeal cookie in my VoxBox and was very excited to try it. I am always skeptical about the cookies that are advertised as ""soft"". This one truly is. I tried to save some for my husband but it didn't sit there for long. I wish my oatmeal cookies turned out like this!"
563312,"I absolutely love these cookies! They taste just like homemade Oatmeal Raisin cookies that Grandma would make! They are a good sized cookie too, not the teeny tiny ones like most companies make!"
563313,Quaker Soft Baked Oatmeal Cookies are so good! They taste like a homemade cookie! If you want that right out of the oven taste try heating up the cookie for about ten seconds. It will be warm and soft!
563314,"I received a free Quaker Soft Baked Oatmeal Raisin Cookie from Influenster and it was an instant hit for me. I love this cookie (but of course I share a little piece with with my husband). I could not put the cookie down, it was so good that I went out and bought a box of the almond with chocolate chips. Can't wait to go and buy more."
563315,"I saw these when they first came out so I decided to buy a box. Unfortunately I didn't realize they also make a crunchy version and I grabbed that box by accident. While both are good, I'm a big fan of the chewy cookies. I love oatmeal, but it's not very portable. These are a great cookie to snack on during the mornings or afternoon."
563316,From bbwife31: I received a free Quaker Soft Baked Oatmeal Raisin Cookie from Influenster and it was an instant hit in our house. My son devoured almost the whole thing in 2 minutes. The few bites that I got to eat were super delicious and I am not even an oatmeal raisin kind of gal. It was very moist and flavorful. Will buy again in the future!!
563317,"My son really enjoyed the cookie. He is not a big raisin fan, but the soft oatmeal he liked. I think there was a good amount of raisins in it for the average cookie. I love the single packaging, makes it easy to take a snack on the go."
563318,"A delicious little snack, can also substitute for breakfast in a hurry! The kids weren't so thrilled but what mom doesn't love a snack that's safe in the pantry?!?!"
563319,These cookies are soft and delicious. I am very picky about my oatmeal raisin and Quaker delivered! No Trans Fat is a BIG PLUS!
563320,this has got to be one of the yummest cookies i have ever had!!!!<br />they are soft and sweet...my kids ate all of them except for the one i had...
563321,I recieved these in a gift box and I was exxited to try them. They are soft and chewy great w mik!
563322,This cookie is definitely delicious!  I love the homemade taste and the chewy goodness in every bite! I received this cookie in my Influenster Mom Voxbox so I only got one but I will definitely purchase more oatmeal one's...they are my absolute fav!
563323,My husband saw my Quaker Oatmeal Soft Baked Cookie and ate it! He said it was delicious...soft and flavorful. Grrrrr...now I have to buy more. I want one!
563324,I am pretty picky when it comes to cookies because I like homemade cookies. I tried the Quaker Oatmeal Raisin cookies and I really liked it. It tasted homemade and was soft and chewy. It was a big hit with my 18 month old too!
